Text1,Text2,Domain
Incarnation,Hard_times,physics
Occasion,High_time,physics
Future,Present,physics
Prime_time,Hour,physics
Hard_time,Life_sentence,physics
Tankage,Porterage,physics
Positive_charge,Electrostatic_charge,physics
Slight_care,Due_care,physics
Suicide_mission,Mission_impossible,physics
Levy,Assessment,physics
Annulet,Ordinary,physics
Rocket_fuel,Undercharge,physics
Radiation_pressure,Vapor_pressure,physics
Impression,Compression,physics
Barometric_pressure,Compartment_pressure,physics
Sampling_frequency,Attendance,physics
Demand-pull_inflation,Cost-pull_inflation,finance
Rational_motive,Ethical_motive,psychology
Air_transportation_system,Short_line,sociology
Connection,Airlift,sociology
Train_fare,Airfare,sociology
Hauling,Express,sociology
Newness,Oldness,sociology
Antiquity,Golden_age,sociology
Minority,Voting_age,sociology
Year_dot,Eon,sociology
Hysteria,Anxiety_neurosis,psychology
Duress,Heartbeat,physics
Reaction,Stress,physics
Brunt,Energy,physics
Line_personnel,Management_personnel,physics
Headquarters,Legion,physics
Road_rage,Domestic_violence,physics
Influence,Moloch,physics
Trade,Accountancy,sociology
Stemmer,Sorting_algorithm,computer science
Diligence,Strictness,psychology
Body_temperature,Mercury,physics
Heat,Cold,physics
Absolute_space,Mathematical_space,physics
Enclosure,Expanse,physics
Separation,Terreplein,physics
Indentation,Margin,physics
Work,Mechanical_energy,physics
Qi,Juice,physics
